"sampleNumber","slug","title","loaded","bodyTextLength","articleLinkCount","unresolvedLinkCount","imageCount","brokenImages","horizontalOverflow","articleOverflow","issues","screenshot"
"35","neurophysics-definition","Neurophysics Definition","true","1437","11","0","0","0","false","false","","screenshots/035.png"
"36","gh-b0306y","Gh B0306Y","true","75505","41","0","0","0","false","false","","screenshots/036.png"
"37","gh-a0265z","Gh A0265Z","true","662","1","0","0","0","false","false","","screenshots/037.png"
"38","gh-a0321z","Gh A0321Z","true","568","2","0","0","0","false","false","","screenshots/038.png"
"39","neural-coincidence-detection","Neural Coincidence Detection","true","7804","95","0","1","0","false","false","","screenshots/039.png"
"40","cellular-coincident-detection","Cellular Coincident Detection","true","2114","12","0","1","0","false","false","","screenshots/040.png"
"41","gh-b0084y","Gh B0084Y","true","8032","7","0","0","0","false","false","","screenshots/041.png"
"42","observer-observed-entification","Observer-Observed Entification","true","2020","6","0","0","0","false","false","","screenshots/042.png"
"43","volumetric-predictive-rendering","Volumetric Predictive Rendering","true","4494","51","0","0","0","false","false","","screenshots/043.png"
"44","gh-a0541z","Gh A0541Z","true","2208","9","0","0","0","false","false","","screenshots/044.png"
"45","camkii","Camkii","true","6696","67","0","1","0","false","false","","screenshots/045.png"
"46","gh-b0229y","Gh B0229Y","true","8426","5","0","0","0","false","false","","screenshots/046.png"
"47","gh-b0095ydone","realization is a differential pattern in the phase field of the brain","true","3297","2","0","0","0","false","false","","screenshots/047.png"
"48","fractal-oscillatory-tree","Fractal Oscillatory Tree","true","2081","10","0","0","0","false","false","","screenshots/048.png"
"49","coincidence-to-structure-activity-directed-spinogenesis","Coincidence Becomes Geometry: Activity-Directed Spine Formation","true","5282","16","0","0","0","false","false","","screenshots/049.png"
"50","thalamocortical-network","Thalamocortical Network","true","3109","12","0","0","0","false","false","","screenshots/050.png"
"51","mixed-selectivity","Mixed Selectivity","true","3020","14","0","0","0","false","false","","screenshots/051.png"
"52","speech-reconstruction-auditory-cortex","Speech Reconstruction Auditory Cortex","true","8268","94","0","0","0","false","false","","screenshots/052.png"
"53","wavefront-collision","Wavefront Collision","true","2661","11","0","1","0","false","false","","screenshots/053.png"
"54","gh-y0030","Temporal-Spatial Neural Rendering and Conscious Operation","true","5179","4","0","0","0","false","false","","screenshots/054.png"
"55","gh-b0146yhand","Confusing Cortical Columns (Hand-Modified Transcript)","true","24062","35","0","0","0","false","false","","screenshots/055.png"
"56","neural-lace-podcast-ep2-blaze-sanders","Neural Lace Podcast Ep2 Blaze Sanders","true","1365","13","0","0","0","false","false","","screenshots/056.png"
"57","gh-a0359z","Gh A0359Z","true","7401","16","0","0","0","false","false","","screenshots/057.png"
"58","neuroplasticity","Neuroplasticity","true","12317","119","0","0","0","false","false","","screenshots/058.png"
"59","gh-a0126z","memories scale up (reference back to note a0001z ""Closing the mechanistic gap"")","true","9396","5","0","0","0","false","false","","screenshots/059.png"
"60","neural-drift","Neural Drift","true","5960","65","0","0","0","false","false","","screenshots/060.png"
"61","rhythms-of-the-brain","Rhythms Of The Brain","true","7767","139","0","0","0","false","false","","screenshots/061.png"
"62","gh-b0006y","Gh B0006Y","true","14959","125","0","0","0","false","false","","screenshots/062.png"
"63","phase-wave-differential-calculus","Phase-Wave Differential Calculus","true","6968","11","0","0","0","false","false","","screenshots/063.png"
"64","phase-precession","Phase Precession","true","11832","103","0","1","0","false","false","","screenshots/064.png"
"65","saov9-cycle-14-consciousness-problem","SAOv9 Cycle 14: The Consciousness Problem, Next Generation Problem Solving","true","7811","2","0","0","0","false","false","","screenshots/065.png"
"66","temporal-parietal-junction","Temporal Parietal Junction","true","8711","100","0","0","0","false","false","","screenshots/066.png"
"67","gh-a0185z","Gh A0185Z","true","9169","28","0","0","0","false","false","","screenshots/067.png"
"68","gh-a0151z","Gh A0151Z","true","11922","18","0","0","0","false","false","","screenshots/068.png"
"69","continuous-dynamics-discrete-neural-information","Continuous Dynamics and Discrete Neural Information","true","3814","15","0","0","0","false","false","","screenshots/069.png"
"70","gh-b0165y","Gh B0165Y","true","11188","3","0","0","0","false","false","","screenshots/070.png"
"71","sit-v71","Sit V71","true","8382","57","0","0","0","false","false","","screenshots/071.png"
"72","jacobs-ladder-rg-flow-sit","Jacob's Ladder RG Flow (SIT)","true","6388","64","0","0","0","false","false","","screenshots/072.png"
"73","gh-a0036z","Gh A0036Z","true","5440","11","0","0","0","false","false","","screenshots/073.png"
"74","self-as-oscillatory-construct","Self As Oscillatory Construct","true","2270","18","0","0","0","false","false","","screenshots/074.png"
"75","phase-space-dynamics","Phase Space Dynamics","true","12679","23","0","0","0","false","false","","screenshots/075.png"
"76","3d-neural-network-brain","The Brain as a Three-Dimensional Neural Network","true","9627","18","0","0","0","false","false","","screenshots/076.png"
"77","gh-a0133z","Gh A0133Z","true","1446","3","0","0","0","false","false","","screenshots/077.png"
"78","transcript-riemann-papers","Transcript Riemann Papers","true","4460","35","0","0","0","false","false","","screenshots/078.png"
"79","cortical-circuit-development-category-theory","Cortical Circuit Development Category Theory","true","2124","7","0","1","0","false","false","","screenshots/079.png"
"80","gh-a0386z","Gh A0386Z","true","322","1","0","0","0","false","false","","screenshots/080.png"
"81","eeg-bci-limitations","Eeg Bci Limitations","true","8090","79","0","0","0","false","false","","screenshots/081.png"
"82","gh-nlp7","Gh Nlp7","true","65815","109","0","0","0","false","false","","screenshots/082.png"
"83","new-law-of-thermodynamics","New Law Of Thermodynamics","true","3407","18","0","0","0","false","false","","screenshots/083.png"
"84","gh-a0086z","Gh A0086Z","true","10368","41","0","0","0","false","false","","screenshots/084.png"
"85","jules-urbach-rtx-vr-xr-ai-rendering","Jules Urbach Rtx Vr Xr Ai Rendering","true","2331","15","0","0","0","false","false","","screenshots/085.png"
"86","recorder-transcript-human-source-atom-map-t07","Recorder Transcript Human Source-Atom Map - T07","true","20798","45","0","0","0","false","false","","screenshots/086.png"
"87","super-information-theory","Super Information Theory","true","2398","10","0","0","0","false","false","","screenshots/087.png"
"88","gh-a0591z","Gh A0591Z","true","4508","13","0","0","0","false","false","","screenshots/088.png"
"89","working-memory","Working Memory","true","11208","122","0","1","0","false","false","","screenshots/089.png"
"90","teleonomic-principle","Teleonomic Principle","true","7241","61","0","0","0","false","false","","screenshots/090.png"
"91","gh-a0014z","Gh A0014Z","true","2988","2","0","0","0","false","false","","screenshots/091.png"
"92","gh-a0575z","Gh A0575Z","true","4645","11","0","0","0","false","false","","screenshots/092.png"
"93","sit-v75","Sit V75","true","6294","70","0","0","0","false","false","","screenshots/093.png"
"94","gh-a0531z","Gh A0531Z","true","2095","1","0","0","0","false","false","","screenshots/094.png"
"95","gh-b0159y","Gh B0159Y","true","5414","5","0","0","0","false","false","","screenshots/095.png"
"96","gh-a0102z","Gh A0102Z","true","1445","9","0","0","0","false","false","","screenshots/096.png"
"97","gh-a0123z","Gh A0123Z","true","4298","3","0","0","0","false","false","","screenshots/097.png"
"98","gh-b0104y","Gh B0104Y","true","39111","269","0","0","0","false","false","","screenshots/098.png"
"99","gh-a0205z","Gh A0205Z","true","1750","2","0","0","0","false","false","","screenshots/099.png"
"100","glial-modulation","Glial Modulation","true","4160","42","0","0","0","false","false","","screenshots/100.png"
