"filename","first_recorded","year","selection_status","sha256"
"b0056y Sequences Pattern Piano-large-v3-turbo-int8-full.txt","2021-11-11T02:28:13.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","1FE48E67F0956C4697AECE3DAC8651A3AE00A9EACC435F728C9FA3E489B1CF80"
"b0057y Oscillators Gps Idea-large-v3-turbo-int8-full.txt","2021-11-10T08:47:59.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","CDFFA4433812A5E4EA81F9CE0C35109E87150EF581C47DB13412B48F12778C30"
"b0058y Macroscopic layout of brain a giant sensory processor-large-v3-turbo-int8-full.txt","2021-11-09T22:21:50.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","CA2E26C0913E9353AA63B1145CC07B8CCCECF80C0F313B2325AB9CACEFAD8AD8"
"b0059y Scale-large-v3-turbo-int8-full.txt","2021-11-09T07:32:39.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","8C2B9D7FCF586CDF967FA254692F646B3CCE7402093320A0FED6B46E0E07F86A"
"b0060y Vectors Representation Particles-large-v3-turbo-int8-full.txt","2021-11-08T20:41:35.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","76FF7CC0E25BDCE4D0180F5B0A8E9696D4E6143C2EF63B7FC86EDA259AEF4CDE"
"b0061y Consciousness facilitates more complex plans-large-v3-turbo-int8-full.txt","2021-11-08T20:29:35.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","0F50F30EA6EA3993B0BFB43AEDB6087B437430EAF482EC3AEC2EB3230AD63D34"
"b0062y Hippocampal Eyeball Lens-large-v3-turbo-int8-full.txt","2021-11-07T07:57:45.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","30366601EC9AED30F74AE00032F63E36F58E745C98CC8FD5EBD9DCB2B8FC34E0"
"b0063y Integrate Cortex Decisions-large-v3-turbo-int8-full.txt","2021-11-07T07:55:55.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","D9623469C491C26781B42359742126DE9CEACB144708CA7584D41BA7B6D52B66"
"b0064y Oscillator-large-v3-turbo-int8-full.txt","2021-11-07T06:34:22.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","70866101467A8D092CFF63235BA9BDEE29579C114048FF2E64FFA8A748036245"
"b0065y Prefrontal Neurons Pattern Oscillator Cortex-large-v3-turbo-int8-full.txt","2021-11-07T06:15:12.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","D6B53D69D97BD0CFE0771C02B28F2965B8FAA1AC9F060883D8F64DB254296BF8"
"b0066y Book Draft Artwork-large-v3-turbo-int8-full.txt","2021-11-07T05:20:50.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","AFB1F459949C83E11AA461765E1C03B739F63A6AEC690EB3F579CE8779530F61"
"b0067y LTD Neurons Signals Pattern-large-v3-turbo-int8-full.txt","2021-11-07T04:50:46.000000Z","2021","MEDIUM_REVIEW_AND_REDACTION","92B565B9D18A2489EDCC3D55E0EBF2E345A799EA21ADCA77A370C00C5F564E7D"
"b0068y Olfactory Signals Brain-large-v3-turbo-int8-full.txt","2021-11-06T21:28:47.000000Z","2021","MEDIUM_REVIEW_AND_REDACTION","22636EF32A5874EBAB637F083267C5FADA8FFE2C62DE6CF3567CEBC04FAA3041"
"b0069y Clubhouse olfactory cortex-large-v3-turbo-int8-full.txt","2021-11-06T06:16:33.000000Z","2021","MEDIUM_REVIEW_AND_REDACTION","9B55FE59C6036CC4AAA0CA882857FE768C68D6D825E1AD4E05EEEDD432C1F65E"
"b0070y Cortex Neuron Model Book-large-v3-turbo-int8-full.txt","2021-11-05T06:29:00.000000Z","2021","MEDIUM_REVIEW_AND_REDACTION","83AA1F74FAF1C4BA2FEF1281EECF108C936248762E6EB171E9DB3A7736B55D05"
"b0072y Dog level intelligence-large-v3-turbo-int8-full.txt","2021-11-05T04:46:34.000000Z","2021","MEDIUM_REVIEW_AND_REDACTION","1E7BCE783459ED7BA4DD099BE4D0535CEBBE5425BE9DC50124EEC95C76809586"
"b0073y Waves Neurons Pattern-large-v3-turbo-int8-full.txt","2021-11-05T04:30:37.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","C0B205C7F21A0428013988618AABA2F2DAF40E621D08297A25F32E5262A4139E"
"b0075y Conscious Representations-large-v3-turbo-int8-full.txt","2021-11-05T02:14:48.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","E139109BD2F2F95DE06E8ACDB34F392E9459C871B2EE2009D720DA43AEFD8FD4"
"b0080y Supermind Network Oscillations-large-v3-turbo-int8-full.txt","2021-11-03T04:54:29.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","9FFB510B49789E48585069CA6B843622485D363247791D017AF99F839A62A6CF"
"b0084y White blood cell Neurons Activity-large-v3-turbo-int8-full.txt","2021-11-01T17:30:31.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","F20A675B234EEC6659D4F8BFB6703C79A716FA060DD0E43C28F4CE76CFD6140E"
"b0085y Neurons Array Synapses-large-v3-turbo-int8-full.txt","2021-11-01T16:11:13.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","BFCF961188CF5766B8EF172020DDFB502DE87815BE9BEFE23221141A2D514D5D"
"b0087y Oscillator Memory Pings-large-v3-turbo-int8-full.txt","2021-11-01T02:42:18.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","CDBEE3FD961DE3D2CF26BEE3B12C9F308CB911132141675826D2D1B8818C288A"
"b0089y Consciousness Causation Body-large-v3-turbo-int8-full.txt","2021-10-29T03:43:27.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","E9B4FF05DFB17B37D48A4A6D66BA8B81DA332B4C3D32E7273DF1D670943EAC59"
"b0091y Pattern Slides Leds-large-v3-turbo-int8-full.txt","2021-10-28T04:14:12.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","A6AC7FE8B5B6F0E138EF642723D4984342D33FA00973D53D0CD22240996E2447"
"b0093y Dress Neurons Sort-large-v3-turbo-int8-full.txt","2021-10-26T04:30:16.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","892B34170B77439714AEA73046F48CFFC42FE5A99011D3DE2AC7A9A10A54B6D7"
"b0095y Realization Keywords Inflammation-large-v3-turbo-int8-full.txt","2021-10-25T02:27:59.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","6F80D54E6E0CC09F4B95DC7B458F02FB6080784372FFA30E7462202E45051245"
"b0096y Neurons Array Perspective Interlace-large-v3-turbo-int8-full.txt","2021-10-24T16:50:24.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","5B2C661EEAE75058EB8B2622B1092DAE545D34F7C8E3067099892A64919C90AD"
"b0097y Watercolor Neuron Signals-large-v3-turbo-int8-full.txt","2021-10-24T09:46:34.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","86BC1C24F783D3862F83C5AFDAEE8980FFBD26C91E9F5E2F52339BE051A1DEE9"
"b0098y Photocopier Oscillator Neurons Graph-large-v3-turbo-int8-full.txt","2021-10-23T09:12:05.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","80D400C2D58F4276A5F5657FABB41BAB66E2B3C1DC73EFE842C9D2CE2DCAE46D"
"b0099y Consciousness Neurons Tactile Patterns-large-v3-turbo-int8-full.txt","2021-10-23T01:42:37.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","08C8C114E791685B560B0260084F1AA946BFADEF4B1BD0E84E4C917E04611C77"
"b0101y Syllables Pattern Synapses-large-v3-turbo-int8-full.txt","2021-10-23T00:42:55.000000Z","2021","MEDIUM_AFTER_PUBLIC_LOW_REVIEW","044234A0349D8F1EDCEAF65E0010FB808C11484ECD69C428D033026A808819F8"
"b0102y Photocopier Neurons Oscillator Oct 22 2021-large-v3-turbo-int8-full.txt","2021-10-23T00:23:43.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","208DF344CD3BC8303B932C9986ADD8AC2167939704010B66AE4D603BC6030705"
"b0103y Neurons Oscillation-large-v3-turbo-int8-full.txt","2021-10-22T07:51:38.000000Z","2021","MEDIUM_AFTER_PUBLIC_LOW_REVIEW","98B64A754D6B4F8383CAAEB2E10955BDCD21937F5B7765754D5BE9DB1CFAE591"
"b0105y Telepathy-large-v3-turbo-int8-full.txt","2021-10-21T20:33:22.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","45C31A3F59DC223F6AB3ABDB7D19B260571C29AD162C43039502F564130CEDB7"
"b0106y Sensory Arrays Ions Potassium Neuron-large-v3-turbo-int8-full.txt","2021-10-21T19:19:58.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","204DCE66C974A98508F44B921B27ACAA778886CF4B49D7C4F33D6AF2068B65E9"
"b0107y This book-large-v3-turbo-int8-full.txt","2021-10-21T18:53:39.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","FFC4354C8CF464940E7D76A7CDDBCB6FF32BCC190995E7BF6DCFDFE20D997F69"
"b0108y How spacetime-large-v3-turbo-int8-full.txt","2021-10-21T17:53:57.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","12DD63072B2E9205A6AA1C7E2514808C644DD96B76D60CA8BA4976B8E5A83691"
"b0109y Neurons Memories Oscillators-large-v3-turbo-int8-full.txt","2021-10-21T17:32:56.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","B2475EBEB886DE131570EE6C4786EA1F7F88E25E24A375AB07FC4882C7603BDD"
"b0110y Synapses Neuron Oscillator-large-v3-turbo-int8-full.txt","2021-10-21T04:27:14.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","88224A2129C03B00FD8F909E1ACB52C8516A7F41414E0327AA7A905A7F51A1C1"
"b0111y Spreadsheet Transcript-large-v3-turbo-int8-full.txt","2021-10-20T22:35:31.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","5AE748F05A0B176DFB44B8D45AAA8170CD58ACF59F35D759E3C83A438FF20874"
"b0112y Chapters Spaceship Contents-large-v3-turbo-int8-full.txt","2021-10-20T22:14:55.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","431933641181B3B85475C4A115AE21A1776675DCAF16EBDE24B3D43AEA3E6CAF"
"b0113y Neuron Vector Wave-large-v3-turbo-int8-full.txt","2021-10-20T21:31:08.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","6F50950E5A918BCDFE31116E90909BF3294BDF4A6BE2E0CA3D2A7CB2E8D743D7"
"b0114y Neurons Potassium Differences-large-v3-turbo-int8-full.txt","2021-10-20T21:03:23.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","2E467DDA8532074900F5962B4C804CDD730CFB722F05C945CE760A09EDF80178"
"b0116y The natural selection of spacetime Wave Oscillation-large-v3-turbo-int8-full.txt","2021-10-18T21:39:21.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","699D2D2CE83427B9A55309B60BE8C596FB5265991BEE145A6221FBF0DFA73D32"
"b0121y Voltage Neurons Synapse-large-v3-turbo-int8-full.txt","2021-10-17T09:22:43.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","DCAD74235C8D8E56FE030FF435E494E638A91CF29543866B6CB3457BDEC8D12D"
"b0122y Quantum Scale Birds Column-large-v3-turbo-int8-full.txt","2021-10-17T00:10:01.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","EBBC3B13990B6A1D74443AF2A04313C47F96D000AE623C6454EB068D7C371524"
"b0123y Pattern learning sensor circuit with a four bit LED-large-v3-turbo-int8-full.txt","2021-10-16T22:39:30.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","0CB93924EE3A921B5722FB430CC74C7536AAD39995D2BA78B4D8C4D9480BC716"
"b0124y Heirarchical & temporal producer Neurons Oscillation Oscillator-large-v3-turbo-int8-full.txt","2021-10-16T02:07:46.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","3CCB21D6B279B36F54FB27A73E1CB72C9F5E6294AFC47EC25F5E22C12F3A6DC5"
"b0125y Neurons Muscles Barbell-large-v3-turbo-int8-full.txt","2021-10-15T21:09:05.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","40396BDAF3D1559C6D60722E755C4C73974AC58B22FB4C2A9BA9DD9CF089A1F4"
"b0126y Relaxed neural firing-large-v3-turbo-int8-full.txt","2021-10-15T18:51:03.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","792BBC0AB969D987C6CC6C12B412AC84EBA2BDD3350DF57DEF52EFDBC204EE43"
"b0127y Potassium Brain Neurons-large-v3-turbo-int8-full.txt","2021-10-15T04:07:00.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","832F246A6D4889A6E8CBF6360F0575D594D4AC57FD1BE8B59A5B817A15171BFB"
"b0129y Neocortex Brain Oscillators-large-v3-turbo-int8-full.txt","2021-10-15T03:38:40.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","30E53992913B6649624D78256588E98EA7DC64AAECEB66438F30C768720C3401"
"b0130y The missing opportunities in multi-modal eeg eit neural networking-large-v3-turbo-int8-full.txt","2021-10-14T18:59:56.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","8A2E7433E027DC19F93A4388CECC69A3398D6DB6BF20748BD011EDBC62ADB9A3"
"b0131y Tomographic language Oscillators-large-v3-turbo-int8-full.txt","2021-10-14T09:34:37.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","83439C445C40B395B854428E1FAD42AE49C43308DC0290D40803DC4D78D165F2"
"b0132y powerbands as attractors lenses-large-v3-turbo-int8-full.txt","2021-10-14T08:46:00.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","F600D7215DEF3D450E6C83FE02089C3CEC0C9FACE47E7E985FED3C653D9B59E3"
"b0133y What your eyes see. Dots Reality-large-v3-turbo-int8-full.txt","2021-10-13T18:22:07.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","72EF0190B6E49BAAFE27296C05FE099EA6D152F99E29FF76D0B79D478A9265DB"
"b0134y Consciousness Causality Metaphors-large-v3-turbo-int8-full.txt","2021-10-13T17:11:09.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","DDF5B53F0F8D8568DA1E45566696FEA4B3C77A9AA70D27291859422BD1DB3377"
"b0136y Fractal Water Canvas Dipoles Neurons Brain-large-v3-turbo-int8-full.txt","2021-10-12T21:11:46.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","4BCBD38DA9046CF9E0FFD7FF92F7AF957EBBFA1445EE0953919E01C711CC37F7"
"b0138y THE REAL FRAME RATE OF Prioception Neurons Movement Frame Rate-large-v3-turbo-int8-full.txt","2021-10-11T19:29:40.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","F42523A87C04021711188CA121504369FE735FBBEB24B65D164ADA513B5986B0"
"b0139y TPJ and Pyramid of Giza Dyson Sphere Brain Pyramid-large-v3-turbo-int8-full.txt","2021-10-11T07:43:38.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","4D2E3C3856335DDB47B111AB620E9B461D200D3A7F9EA6B555CD944A244D5FFD"
"b0140y Neo Mind Cycle- Extenda Brain Universe Consciousness-large-v3-turbo-int8-full.txt","2021-10-11T07:19:54.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","70DC7E4C97CBD7058BCEEC8B20760B7556A09757082AE26CB5A05712319DF9E5"
"b0143y Neuron Memory Oscillation-large-v3-turbo-int8-full.txt","2021-10-11T03:54:10.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","A09513B4E2EE4C6991CC5D2FF08B7C9596263A84CDA951C3E603D8E63299738A"
"b0144y Brain Structures Requests-large-v3-turbo-int8-full.txt","2021-10-11T03:34:02.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","DBE594E6D8185CFCF70C133431C61F7BDF5C851A2265BBA6B3F8056474A488D3"
"b0145y Michael Graziano Consciousness Attention Observer-large-v3-turbo-int8-full.txt","2021-10-11T03:17:32.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","CF4534B08DB310A919512A5F6A96183B8266E170739ED687ACB0F6CE4D3DE911"
"b0146y Graziano Neurons Consciousness Animals-large-v3-turbo-int8-full.txt","2021-10-11T02:32:49.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","EFCC2BB7B60552144AC490425C47F13F1828221AC1626704CFA1AF623FC08B76"
"b0148y Representation Prediction Reactions-large-v3-turbo-int8-full.txt","2021-10-11T01:03:51.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","935F54C6CE0F31BB8A21F71FE65B624A571AB21B543F33458E7C8B7B7F729896"
"b0149y tempo-spatial Potassium distributions-large-v3-turbo-int8-full.txt","2021-10-10T17:40:21.000000Z","2021","MEDIUM_REVIEW_AND_REDACTION","71EAFB0EFD2890AF384163D84E3E8A03355D9F0C55ECBBC478537B657E6DF4CE"
"b0150y The multilevel concept of mind a self model with no self Neurons Hippocampus Vibrations-large-v3-turbo-int8-full.txt","2021-10-10T00:07:00.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","F09510E457816BA5ADA284DF6C1B7A0E11ACDEDC9EBB006BA16763ED322A0884"
"b0151y Global Workspace + Attention Schema Scale (edited)-large-v3-turbo-int8-full.txt","2021-10-10T00:01:39.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","77DABE1A039E88BBDB495C663C58915538D648DA29EC5657784C785EF6A746B8"
"b0152y THE Seeker Self & Choice-large-v3-turbo-int8-full.txt","2021-10-09T19:54:07.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","875EADC3C23E111B809A92128D9A98D4B118CA0BF04905967367410F09907AD0"
"b0153y The seeker Neurons Representation Map-large-v3-turbo-int8-full.txt","2021-10-09T19:44:13.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","65366391A448ED8A849FDE23FC3BDFD0007896D99CB94146FB8AAF9E6F08EB85"
"b0154y Attention Schema Graph Network Map Neurons-large-v3-turbo-int8-full.txt","2021-10-09T19:18:35.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","300E7CC9AF7131D5E6C99682FCB5CFFD245E8AF913E3814D54BD1C6C43750B96"
"b0155y Soliton waves Neurons Pattern Frequency-large-v3-turbo-int8-full.txt","2021-10-09T08:15:00.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","37195AEFEFBD63A7D1D62C37E7DC575FEB9E0D78F0D3B1BA5C9D94DF359AEDF5"
"b0156y Paying attention to what you are seeing Brain Neurons Peak-large-v3-turbo-int8-full.txt","2021-10-09T06:29:10.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","EC357F13DEB873299EC117716EB19802411FE903E5C2CCB330A6CA6F21D18FE2"
"b0157y Choice-large-v3-turbo-int8-full.txt","2021-10-09T06:17:44.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","7598E90BBF210C401214945E768C8BC444E5FC8F70E31F43FCE401D7F6CC51D1"
"b0158y Neurons Dendrite Threshold-large-v3-turbo-int8-full.txt","2021-10-08T07:29:53.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","486AE952A321EB4607534BF6CB3F9FFFE58518447F6D61E858957AB89937ADD3"
"b0159y Four kinds of neural transmission Oscillator-large-v3-turbo-int8-full.txt","2021-10-07T22:35:16.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","57D189AD8017568337944110840A71F462E7E52324129F7D2FB031C444EAF9E7"
"b0161y Patterns Scale Brain-large-v3-turbo-int8-full.txt","2021-10-04T21:18:58.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","49D99A573419D7D89811BF2904C6E3EB6B7FFDFA4C381E113889D5FA170B1397"
"b0162y Physics Justice Medicine Human level Neurons Feelings Millisecond-large-v3-turbo-int8-full.txt","2021-10-03T23:47:57.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","0CD0801C67846D5A62A916B401488629EF28E743347AAEED040B847E29D03214"
"b0163y Resolution mind Dog Consciousness-large-v3-turbo-int8-full.txt","2021-10-03T21:39:22.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","358BC5E37F74743B27CFD159C961BD64D9F142FA2DED68F0079B3EF7FEA38B06"
"b0165y Neurons Sequence Box-large-v3-turbo-int8-full.txt","2021-10-03T19:47:58.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","F284C24C3DF4639D76342710D677D3607C90A727D68A29115A83D876FE87FD26"
"b0166y Neuron Pattern dopamine Brain-large-v3-turbo-int8-full.txt","2021-10-03T04:34:25.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","DD2638129418CD9EA3B2CD1EE298AC3462096393244CB41F73FE4DBA8707541F"
"b0167y Universe Atoms Oscillation-large-v3-turbo-int8-full.txt","2021-10-02T23:05:46.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","35F11D3D2ECCE6F18868148666A2CB6B636176F6650757EEF6339C4072B06BFA"
"b0172y Brain note taking Dipoles Movements-large-v3-turbo-int8-full.txt","2021-10-01T21:09:50.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","B59497E9EDB115A3E1B2D152A61280E7CEE27AA765CF05BB131BBC808D32045C"
"b0173y Eyes Neurons Photons Ganglion-large-v3-turbo-int8-full.txt","2021-10-01T18:00:29.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","4DEDF8E97BFFE9EA837F4A6637D60FF6EC43DDA9B6DE4009E3A63E2318DFCAF1"
"b0174y Brain Isomorphism Localization-large-v3-turbo-int8-full.txt","2021-10-01T18:00:30.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","D5A98F621DF10C53A67DBE2581F912B454BE81F4CF7045A151A34254D1116A02"
"b0175y Piano Leds Notepad-large-v3-turbo-int8-full.txt","2021-10-01T03:45:26.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","B73326BA004AA08AED384D420B65B00A18135552068050A5B4BE9F7611E0D562"
"b0178y Scientists previously thought of gamma waves as essential for consciousness Oscillator-large-v3-turbo-int8-full.txt","2021-09-30T00:37:35.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","30344FC396FE99F5E196519139829D5525959CB698BBB0B7900722AD4599B71B"
"b0179y Meso scale-large-v3-turbo-int8-full.txt","2021-09-30T00:31:13.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","52E4EE56F8B8383ADC9F0107FFEB756477B14D38C81A1D80949CA232FAD1C89E"
"b0180y Microtubules Neurons Pattern-large-v3-turbo-int8-full.txt","2021-09-29T23:16:52.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","E4471499C4EB8CF97D912458AE9BCE5D917C180DDB390538451BAD27D34B93DF"
"b0181y Brain Computer Interface Ai-large-v3-turbo-int8-full.txt","2021-09-28T02:18:44.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","E20CD83D2A0E63098CCDCB6ADFE44F0B67A7DAB61851033C9FF9B1197D2D09D7"
"b0187y Brain Compunds Patterns in Oscillations-large-v3-turbo-int8-full.txt","2021-09-26T03:08:16.000000Z","2021","LOW_AFTER_CONTEXTUAL_REVIEW","B3A8E3789FF93467DC3EC66F9F202252E055A35B37F08F2A552803DED1FA01D6"
"b0189y Columns Oscillations Neurons-large-v3-turbo-int8-full.txt","2021-09-20T22:56:13.000000Z","2021","LOW_NO_CURRENT_RISK_FINDING","93EDBF1AB60D2973E964DCF7A13E790FFDF3A8F9EBB956C374FD4ACED2DCAD1A"
